"","L3_tree1","freq","Percentage1"
"1","Alder",6,0.192184497117233
"2","Ash",386,12.363869314542
"3","Basswood",75,2.40230621396541
"4","Beech",647,20.7238949391416
"5","Birch",2,0.0640614990390775
"6","Black gum",14,0.448430493273543
"7","Black gum/sweet gum",1,0.0320307495195388
"8","Buckeye",13,0.416399743754004
"9","Cherry",10,0.320307495195388
"10","Elm",285,9.12876361306854
"11","Hackberry",3,0.0960922485586163
"12","Hickory",103,3.29916720051249
"13","Ironwood",134,4.29212043561819
"14","Locust",1,0.0320307495195388
"15","Maple",302,9.67328635490071
"16","No tree",17,0.544522741832159
"17","Oak",715,22.9019859064702
"18","Other hardwood",2,0.0640614990390775
"19","Poplar",87,2.78667520819987
"20","Poplar/tulip poplar",82,2.62652146060218
"21","Sycamore",28,0.896860986547085
"22","Tamarack",49,1.5695067264574
"23","Tulip poplar",5,0.160153747597694
"24","Walnut",44,1.40935297885971
"25","Water",46,1.47341447789878
"26","Willow",65,2.08199871877002
