FID,density,basal,POINT_X,POINT_Y
0,0.000000000000000,0.000000000000000,589826.929286999980000,4590108.859059999700000
1,0.000000000000000,0.000000000000000,591405.912090000000000,4591747.948200000500000
2,162.304203647000010,51.153748911400001,591431.800323999950000,4590130.063550000100000
3,0.000000000000000,0.000000000000000,592236.470546999950000,4590931.232570000000000
4,328.659233178000020,256.462500949999990,591383.308787000020000,4593357.788259999800000
5,0.000000000000000,0.000000000000000,591442.170623000010000,4589318.558650000000000
6,0.000000000000000,0.000000000000000,592190.565702999940000,4594141.953300000200000
7,266.415670224999990,22.139149274899999,592206.256953999980000,4592545.742739999700000
8,344.896811348000030,67.807576004799998,589034.511012000030000,4587682.807319999700000
9,181.397563694000010,15.074142363100000,584147.936867999960000,4592420.858599999900000
10,185.837622344000010,20.810534203800000,593072.245265000030000,4588514.095099999600000
11,919.358774790999970,158.387628834999990,593022.120369000010000,4592537.148799999600000
12,207.104767887000010,29.068805151999999,584994.787355000040000,4590009.947230000000000
13,246.847151680000000,30.519348699900000,593013.516282000000000,4593329.907189999700000
14,465.149376699000020,188.555734457000000,590565.531248999990000,4594150.193920000500000
15,184.751173669000000,7.957258124970000,584924.054404000050000,4594041.789819999600000
16,328.671896059000010,29.977291422400000,588228.401855999950000,4589266.346819999600000
17,1477.222964320000100,182.638861533000010,590551.685807000030000,4595767.777479999700000
18,99.903820341599996,36.447849329400000,591421.433137999960000,4590941.559170000300000
19,0.000000000000000,0.000000000000000,586599.287306000010000,4590041.871550000300000
20,0.000000000000000,0.000000000000000,591451.337241000030000,4588513.878180000000000
21,54.398560191400001,16.097467863900000,585042.688051000000000,4587606.751650000000000
22,151.984687310999990,46.284078438900004,589748.095544000040000,4594948.060239999600000
23,101.244597128000000,85.365520585699997,588189.041690999990000,4591692.431959999700000
24,370.025280248000000,79.685195206600000,593066.102016999970000,4589308.993990000300000
25,169.051011665000000,51.481306587799999,587422.891697000010000,4587646.705620000100000
26,916.598054920999970,54.340309501299998,586542.700029999950000,4593276.616790000300000
27,213.529211559000000,118.583745959000000,588213.678181999950000,4590075.323509999600000
28,686.209414291000030,361.005365880999990,589741.349867000010000,4595756.970739999800000
29,442.780763660999980,198.334526899999990,584185.460835000030000,4590801.627799999900000
30,208.111071618000010,38.911580058100000,589857.877006000020000,4588496.689159999600000
31,463.698126068000020,42.527634842499999,586569.580104999940000,4591660.887190000200000
32,338.828113460000000,7.039156307960000,585784.189535000010000,4590833.060560000100000
33,384.228032692999990,10.123943327899999,585809.882226999970000,4589218.758310000400000
34,1071.892595990000000,39.105791652800001,588249.723157000030000,4587668.151949999900000
35,581.388558546000010,17.970229783499999,592982.052893999960000,4595744.696300000000000
36,501.991979062999970,18.822868677599999,584938.821728999960000,4593237.266510000500000
37,80.009585908099993,15.730084764700001,593058.806858000000000,4590114.948189999900000
38,139.463908632000000,38.513736034700003,588121.455017999980000,4596502.031179999900000
39,102.641942596000010,7.957444317290000,586553.230239000060000,4592471.340909999800000
40,751.322882365000050,28.171868354699999,593004.909477000010000,4594122.658800000300000
41,431.979306468000000,7.004388652890000,586612.641794999940000,4589233.307520000300000
42,199.128777853000000,8.072003283340001,585024.906282000010000,4588405.481040000000000
43,559.513734590000010,38.557331980599997,585728.111691999950000,4594061.844659999900000
44,241.908142309999990,185.458494089000000,584236.309678000050000,4587595.044099999600000
45,65.393114320999999,46.256711430700001,589779.922874000040000,4592532.632419999700000
46,469.350483901000020,83.000366778100002,590585.154663000020000,4592543.484659999600000
47,140.701208626000010,12.832983851200000,588239.063062999980000,4588467.252829999700000
48,194.992571741000010,46.240363011699998,592967.974521000050000,4596544.691209999800000
49,198.755484195000010,56.901653049700002,585007.126871000040000,4589204.204680000400000
50,234.245056834000000,28.961268226500000,589730.443728000040000,4596527.017310000000000
51,188.088893101000000,5.813668981050000,584119.778890999970000,4594022.134920000100000
52,136.479267563000010,23.374412178200000,590658.320096999990000,4587701.020809999700000
53,200.578745285000000,35.470527883899997,591376.220031999980000,4594161.240489999800000
54,95.013387119000001,12.565582399400000,586519.948283000030000,4594893.401290000400000
55,98.327818860299999,57.595898050199999,589767.380032000020000,4593335.890049999600000
56,73.642901950799995,67.167736561599995,589754.837974000020000,4594139.141680000300000
57,249.299240878000010,22.737922179500000,592993.479802999990000,4594933.678759999600000
58,322.824914700000020,22.246580625600000,589036.848781000010000,4589281.629370000200000
59,207.291154033000000,21.847483444600002,588170.944538000040000,4593304.176210000200000
60,609.590174403999980,9.884284817750000,584091.325550999960000,4595651.840160000100000
61,367.594845720000020,21.047725509199999,586629.292065000050000,4588431.643770000000000
62,151.998879624000010,4.698157116320000,584953.586396000000000,4592432.734190000200000
63,153.437325181000010,8.785505947340001,591390.395737000040000,4592554.326919999900000
64,149.233468346000000,15.501631481200000,589870.457226000030000,4587696.468810000500000
65,138.440378952000000,32.829626898500003,589794.240081000030000,4591726.723670000200000
66,127.797403796000000,32.377950156399997,588179.129563000050000,4592500.568000000000000
67,352.375992086999990,186.407818873000000,584898.571573999940000,4595671.482959999700000
68,186.770594507999990,68.517953349600006,585822.153935999960000,4587616.820779999700000
69,74.286057015599994,50.627549417899999,593051.509388000010000,4590920.894759999600000
70,601.837625399999980,39.644231378999997,584968.019533999960000,4591624.212109999700000
71,318.602990364999980,57.472112436700002,586532.167089000000000,4594081.890680000200000
72,208.616692212999990,35.940596991100001,584893.720991999960000,4596434.781419999900000
73,105.856379626000010,5.363821926680000,587318.600885999970000,4595713.855730000000000
74,286.912904933999980,23.842470023800001,584211.083942000060000,4589196.025010000000000
75,857.825512012999980,80.413321499000006,586585.931089999970000,4590850.432120000000000
76,48.178835224399997,20.018312436799999,591355.608580000000000,4596548.158219999600000
77,428.196609620999990,289.004605593000010,588129.478634999950000,4595722.797360000200000
78,80.208969910299999,14.631294579900000,589808.564368000020000,4590920.801509999700000
79,383.796842635000020,87.318256047199995,586645.944918000020000,4587629.977839999800000
80,223.561299794000010,16.878747213699999,588146.119240000030000,4594915.293340000300000
81,66.897515578099998,11.525140302000001,592269.445798999980000,4587714.194190000200000
82,135.604334682000000,14.292039960900000,585703.148190999990000,4595688.196800000000000
83,163.657076319000000,66.341011662300005,588198.950758000020000,4590884.291840000100000
84,220.973535306000000,81.065514747899996,587347.463807999970000,4594094.839130000200000
85,212.540760656999990,50.401724741800003,588162.756413999940000,4594107.782250000200000
86,182.708602566000000,128.130464534999990,592172.035907999960000,4595761.636629999600000
87,330.044043992000010,100.508707099000010,592254.133970999970000,4589313.779529999900000
88,263.560038481999980,25.774733639200001,586499.976654000000000,4596469.881640000300000
89,118.638570641000000,98.588683727700001,588935.413329000000000,4595739.889879999700000
90,0.000000000000000,0.000000000000000,591460.508481999980000,4587709.191410000400000
91,965.246817681000040,361.005365880999990,590614.994515000030000,4590931.187479999800000
92,179.393937755000000,9.090024996530000,587392.440938999990000,4590867.365100000100000
93,41.406799229500002,71.335858507200001,591362.021787000010000,4595778.571180000000000
94,117.249335014000000,89.591961376100002,587366.177875000050000,4592485.954319999600000
95,265.393064777000010,221.751997206999990,593036.818048999990000,4591729.026709999900000
96,77.163662937200002,19.549702562400000,588979.523173999970000,4592516.602520000200000
97,16.378453991800001,3.518812096690000,593078.388822000010000,4587719.193869999600000
98,0.000000000000000,0.000000000000000,591369.124401999990000,4594969.910849999600000
99,73.921349102999997,4.382410553290000,585753.407018000030000,4592452.038830000000000
100,125.113405429000000,38.100934858000002,586507.726844000050000,4595704.906619999600000
101,1602.112983739999900,361.005365880999990,584982.447664999990000,4590815.679630000100000
102,332.751522118000030,41.140275124900000,584911.314453999980000,4594856.640169999600000
103,419.404948835000030,194.664311900000000,588958.798478999990000,4594123.463829999800000
104,109.322055117999990,9.084665685199999,590643.732109999980000,4589307.735150000100000
105,1201.434401490000000,253.250731502000010,587420.521549999950000,4589249.830099999900000
106,304.350855807000020,8.019276455160000,589845.300453000000000,4589296.906229999800000
107,165.200268068000010,6.110699430670000,589003.755597000010000,4590902.553290000200000
108,0.000000000000000,0.000000000000000,586433.499471000050000,4566650.373390000300000
109,0.000000000000000,0.000000000000000,593933.970806000060000,4560498.965339999600000
110,58.193225933500003,14.743471406599999,591392.874515000030000,4563591.274960000100000
111,33.523703041899999,3.533235900140000,593900.532929999990000,4561286.194840000000000
112,424.133954034000000,31.162217764000001,588951.552674000040000,4564314.698509999600000
113,47.503720634300002,3.129163768950000,593867.089245000040000,4562073.418820000300000
114,17.887052839599999,5.691880168380000,592257.451252000060000,4562008.186859999800000
115,89.518296086999996,13.108921551400000,590727.734957000010000,4559544.392529999800000
116,423.502225635000000,206.866442318999990,585806.737555000000000,4561817.728149999900000
117,38.545011928900003,33.124653721400001,590584.500575999960000,4563565.037170000400000
118,36.907211363999998,5.404635248890000,586661.042615000040000,4558612.933439999800000
119,24.344194968299998,8.930819220040000,592141.680910000000000,4565223.367639999800000
120,41.199982231500002,20.876339135399999,589728.786914000050000,4565143.864690000200000
121,61.234331674300002,22.464195137899999,585005.478817999950000,4560178.834940000400000
122,166.649341982000010,9.541998880520000,590533.366028000020000,4565172.090750000400000
123,546.506942059000040,93.321755207999999,592373.254043000050000,4558793.334450000000000
124,29.099116086599999,7.667264673230000,589781.694964000020000,4563539.403099999800000
125,327.923849061999990,173.472571437999990,590756.005286999980000,4558739.635420000200000
126,24.513817581700000,17.886721982299999,589893.354504000050000,4560320.994250000500000
127,28.063041220599999,11.660197355599999,588978.899042999950000,4563513.759449999800000
128,26.937359347099999,6.824680724160000,584953.718334999980000,4561797.787569999700000
129,78.357487479000000,17.827241902000001,592171.470065000000000,4564420.437819999600000
130,71.174005315000002,4.688372105360000,593842.018982999960000,4562879.109439999800000
131,11.551757536300000,2.481825462710000,588177.247337999990000,4563491.855180000000000
132,421.171476746999990,61.462292327999997,585892.390990999990000,4559397.903149999700000
133,83.132330662499996,19.713926092299999,590459.006684000020000,4566769.548860000400000
134,36.491910280600003,3.032478713980000,591272.893861999970000,4566797.519299999800000
135,39.598857329600001,17.496712414499999,593652.877068000030000,4567707.743390000400000
136,13.005979783800001,5.931204506520000,587313.468144000040000,4565075.809519999700000
137,22.691887707100001,11.498149216000000,588924.203599000000000,4565115.636629999600000
138,6.588348584250000,2.416976623840000,588118.838331999960000,4565095.722400000300000
139,13.778517628600000,5.054734823690000,592201.251309999960000,4563617.496349999700000
140,88.135225843100002,27.911736316700001,592229.354706999960000,4562812.850030000300000
141,84.772364633999999,34.363832944700000,585871.005540000040000,4560202.618540000200000
142,49.314210856999999,6.097042589950000,592313.544098000040000,4560395.347740000100000
143,248.421232421000010,16.112242743600000,591337.524787000030000,4565197.732260000000000
144,317.511187253999990,41.830176252500003,592343.399179999950000,4559594.345759999900000
145,30.547790467799999,6.005772033180000,593062.272451000060000,4562040.806769999700000
146,1.123206412650000,0.163911481880000,585071.383938999960000,4558569.228129999700000
147,54.486191372100002,12.810372153599999,588228.581967000030000,4561883.307360000000000
148,125.472835550000000,67.392705648700002,592051.717946000050000,4567630.935870000200000
149,84.101252890500007,25.398381369300001,588859.521851000030000,4566704.607450000000000
150,90.105216014299998,34.744967000599999,591456.854367999940000,4558763.913959999600000
151,57.977656567399997,12.368016837600001,590558.932644000040000,4564368.569070000200000
152,49.367529459300002,16.409772039400000,592114.234566000060000,4566024.428279999600000
153,172.376494288999990,84.200058357200007,585838.873327999960000,4561010.178430000300000
154,16.976249157700000,6.546116227990000,589837.334494999960000,4561928.435170000400000
155,7.472014471710000,3.952715143880000,590699.464181000020000,4560349.141649999700000
156,58.183770499200001,7.193645008470000,591506.499556000000000,4560372.252569999500000
157,11.267995099100000,13.434635601300000,588276.615595999990000,4558660.214630000300000
158,21.250651157200000,7.795933446970000,588282.676200999990000,4560270.897099999700000
159,50.026656601900001,26.819116155600000,592886.807869000010000,4566871.199550000000000
160,76.012195810700007,15.406379248000000,586566.005337000010000,4563448.645050000400000
161,17.528977648300000,6.430614390550000,587453.174367000000000,4561057.909110000400000
162,2.290462962990000,0.543158326126000,585756.409131999940000,4563427.336960000000000
163,111.246751579999990,73.280429366500002,587526.786164000050000,4558639.640730000100000
164,40.948259780199997,11.287341480700000,584803.748897999990000,4566629.112520000000000
165,65.149394410100001,26.409348325000000,584182.659528000050000,4558544.542500000400000
166,1.170685556120000,0.185670074738000,593753.377380999970000,4565303.889750000100000
167,4.176073066930000,1.500277646500000,591451.599815999970000,4561982.656920000000000
168,396.373555538000010,197.832763430999990,585913.773295999970000,4558593.177269999900000
169,89.574940238200000,71.531948441699996,589058.087088000030000,4561096.295190000000000
170,20.250623828900000,7.408544921460000,589888.566725000040000,4558711.489310000100000
171,68.794442418000003,11.851943887799999,589028.921773000040000,4561899.749400000100000
172,0.000000000000000,0.000000000000000,592285.497523000000000,4561201.775390000100000
173,189.437682736000000,117.491136574000000,587478.104441000030000,4560248.956030000000000
174,2.994620630190000,1.341378656610000,592086.782945999990000,4566825.477660000300000
175,0.000000000000000,0.000000000000000,587222.231752000050000,4566649.735659999800000
176,40.042765128900001,7.405838529710000,585644.768790000000000,4566651.004820000400000
177,0.000000000000000,0.000000000000000,590645.744196000040000,4561957.115469999600000
178,10.882804633299999,8.690692037960000,585729.576594999990000,4564234.098509999900000
179,190.952821609000010,52.635929237900001,587502.446768000020000,4559444.298019999600000
180,25.590759625699999,12.150106452299999,589148.556346999950000,4558688.197750000300000
181,64.233895648200004,31.766648248399999,589117.906133000040000,4559490.518349999600000
182,0.502694235564000,0.103161166188000,592947.529103999960000,4565263.634300000000000
183,144.215345195999990,91.489892502000004,590496.187680999980000,4565970.822870000300000
184,8.519682471580000,7.321609660090000,586508.104305000040000,4565058.332560000000000
185,42.110618578500002,15.789946383500000,593720.106281999960000,4566110.405489999800000
186,29.726629240200001,10.137200710200000,593816.941848000050000,4563684.793010000100000
187,18.008148809800002,6.606401309130000,586617.489435000000000,4561842.297810000400000
188,42.981950016299997,4.813219894220000,593963.701998000030000,4559654.020340000300000
189,83.916840526100003,37.588820993699997,589087.250579999990000,4560292.832779999800000
190,93.937487401799999,20.610292278999999,584902.990353000000000,4563405.351259999900000
191,27.778694518700000,5.630268908870000,593686.832095999970000,4566916.911349999700000
192,0.423478193217000,0.189688337880000,593785.160524999960000,4564494.349130000000000
193,7.970368071990000,4.943301618610000,585611.566788999950000,4567436.848260000300000
194,5.255355785110000,5.794531505630000,587375.601617999960000,4563469.950389999900000
195,42.407899180400001,10.593781046000000,585702.735544000050000,4565040.851130000300000
196,75.610886708099997,99.306263855799997,587344.536332000050000,4564272.878850000000000
197,160.347460673000000,34.449685212699997,585781.575306999960000,4562622.536500000400000
198,5.509745082670000,5.371479075480000,590615.123166000000000,4562761.081620000300000
199,12.970940411200001,4.732180212450000,587428.243086999980000,4561866.863959999800000
200,24.259302910700001,11.063133200299999,585673.754236000010000,4565845.930309999700000
201,0.000000000000000,0.000000000000000,584853.364622000020000,4565010.509569999800000
202,0.218523487488000,0.057578292443600,592887.095145000030000,4560423.315059999900000
203,32.882863444900003,8.664236277670000,587267.852608000040000,4565862.775430000400000
204,9.589987861170000,8.416339769670000,593009.097677999990000,4563651.152780000100000
205,0.685526722158000,0.115671385240000,588830.017750000000000,4567515.724609999900000
206,0.520281809830000,0.143415092248000,586674.554891000040000,4560225.789819999600000
207,14.275924182900001,12.268384972400000,590672.605334999970000,4561153.133879999600000
208,31.655828332799999,27.011772534999999,589003.909788000050000,4562706.756369999600000
209,13.136472232399999,8.313779562660001,587401.922663999950000,4562668.406010000000000
210,24.888035096700001,3.997672266970000,588891.865750000000000,4565910.123730000100000
211,81.013628193100004,39.736604552199999,593236.579774999990000,4558826.702239999500000
212,0.000000000000000,0.000000000000000,584612.396002999970000,4571410.075670000200000
213,0.000000000000000,0.000000000000000,588523.767918000000000,4575583.577360000500000
214,0.000000000000000,0.000000000000000,588481.481707999950000,4577124.530740000300000
215,0.000000000000000,0.000000000000000,584669.046787000030000,4569803.802149999900000
216,0.000000000000000,0.000000000000000,590121.797796000030000,4575635.874110000200000
217,0.000000000000000,0.000000000000000,590955.700671000060000,4574851.890010000200000
218,0.000000000000000,0.000000000000000,591763.296951000000000,4574883.638829999600000
219,0.000000000000000,0.000000000000000,591738.287332999990000,4575699.785550000100000
220,0.000000000000000,0.000000000000000,591713.271916999950000,4576515.932269999800000
221,0.000000000000000,0.000000000000000,592583.896986000010000,4574915.298240000400000
222,0.000000000000000,0.000000000000000,592533.359576000020000,4576540.961210000300000
223,0.000000000000000,0.000000000000000,593404.501225000010000,4574946.958920000100000
224,0.000000000000000,0.000000000000000,593378.972842999970000,4575756.473629999900000
225,0.000000000000000,0.000000000000000,593353.450021000000000,4576565.989179999600000
226,353.095207295000020,26.658481373099999,592699.642405000050000,4571701.081450000400000
227,205.198802957999990,48.244756426499997,590330.735476000000000,4569986.442230000200000
228,84.496992342499993,10.489738205400000,593480.560843999960000,4572537.260830000000000
229,1602.112983739999900,71.621462242600003,589524.241382000040000,4569958.929200000100000
230,29.826263875599999,17.002339851700000,590148.104173999980000,4574820.137090000300000
231,124.991290262000010,45.093823377600003,590241.495344000050000,4572406.178580000100000
232,56.236989504299999,20.516906292300000,590388.082830999980000,4568385.306839999700000
233,365.767141471999990,78.582865185399996,591202.363910999960000,4568410.847199999700000
234,76.264818395399999,37.716498979999997,588717.745700999980000,4569931.400510000100000
235,126.116549666000000,33.230183455899997,591890.099280999970000,4571673.818649999800000
236,72.323240958100001,8.941801413870000,591863.356185000040000,4572484.315990000000000
237,232.948222686000010,106.232946010000010,592644.271057000030000,4573320.495389999800000
