"","L2_tree","freq","Percentage5"
"1","Alder",6,0.19614253023864
"2","American Ho",3,0.09807126511932
"3","Ash",1,0.03269042170644
"4","Aspen",148,4.83818241255312
"5","Basswood",30,0.9807126511932
"6","Beech",645,21.0853220006538
"7","Birch",2,0.06538084341288
"8","Black Ash",171,5.59006211180124
"9","Black Gum",14,0.45766590389016
"10","Black Oak",24,0.78457012095456
"11","Black Walnu",10,0.3269042170644
"12","Blue Ash",20,0.6538084341288
"13","Blue Beech-",1,0.03269042170644
"14","Buckeye",13,0.42497548218372
"15","Bur Oak",108,3.53056554429552
"16","Butternut",33,1.07878391631252
"17","Cherry",10,0.3269042170644
"18","Cottonwood",1,0.03269042170644
"19","custom",1,0.03269042170644
"20","Elm",247,8.07453416149068
"21","Gum",1,0.03269042170644
"22","Hackberry",3,0.09807126511932
"23","Hickory",103,3.36711343576332
"24","Hickory Elm",1,0.03269042170644
"25","Ironwood",129,4.21706440013076
"26","Jack Oak-IA",15,0.4903563255966
"27","Linden",35,1.1441647597254
"28","Lynn",10,0.3269042170644
"29","Maple",94,3.07289964040536
"30","Oak",1,0.03269042170644
"31","Pin Oak",5,0.1634521085322
"32","Poplar",15,0.4903563255966
"33","Poplar-IL,M",5,0.1634521085322
"34","Red Elm",25,0.817260542661
"35","Red Oak",83,2.71330500163452
"36","Sassafrass",1,0.03269042170644
"37","Spanish Oak",10,0.3269042170644
"38","Sugar",6,0.19614253023864
"39","Sugar Maple",202,6.60346518470088
"40","Swamp Ash-I",70,2.2883295194508
"41","Swamp White",2,0.06538084341288
"42","Sycamore",28,0.91533180778032
"43","Tamarack",49,1.60183066361556
"44","Thorn Tree",1,0.03269042170644
"45","W. Wood",1,0.03269042170644
"46","Water Beech",1,0.03269042170644
"47","White Ash",124,4.05361229159856
"48","White Beech",2,0.06538084341288
"49","White Elm",13,0.42497548218372
"50","White Oak",446,14.5799280810722
"51","White Walnu",1,0.03269042170644
"52","Whitewood",3,0.09807126511932
"53","Willow",65,2.1248774109186
"54","Yellow Oak",21,0.68649885583524
