FID,Id,ORIG_FID,Id_1,POINT_X,POINT_Y,X_UTM,Y_UTM
0,0,0,0,737211.996888000050000,554896.876327999980000,550420.361532000010000,4596697.052339999900000
1,0,0,0,737210.663157999980000,554892.057492999940000,550419.252667000050000,4596692.175800000300000
2,0,0,0,737209.329428000030000,554887.238659000020000,550418.143801999980000,4596687.299259999800000
3,0,0,0,737207.995697999960000,554882.419823999980000,550417.034938000030000,4596682.422720000100000
4,0,0,0,737206.661969000010000,554877.600989999950000,550415.926073999960000,4596677.546170000000000
5,0,0,0,737205.328239000050000,554872.782156000030000,550414.817209000000000,4596672.669630000400000
6,0,0,0,737203.994508999980000,554867.963320999990000,550413.708345000050000,4596667.793089999800000
7,0,0,0,737202.660779000030000,554863.144486999950000,550412.599480999980000,4596662.916550000200000
8,0,0,0,737201.327048999960000,554858.325652000030000,550411.490617000030000,4596658.040009999600000
9,0,0,0,737199.993320000010000,554853.506817999990000,550410.381752999970000,4596653.163460000400000
10,0,0,0,737198.659590000050000,554848.687983999960000,550409.272890000020000,4596648.286919999900000
11,0,0,0,737197.325859999980000,554843.869149000030000,550408.164025999950000,4596643.410380000200000
12,0,0,0,737195.992130000030000,554839.050315000000000,550407.055162000000000,4596638.533830000100000
13,0,0,0,737194.658399999960000,554834.231479999960000,550405.946298999940000,4596633.657289999500000
14,0,0,0,737193.324671000010000,554829.412646000040000,550404.837434999990000,4596628.780740000300000
15,0,0,0,737191.990941000050000,554824.593812000010000,550403.728572000050000,4596623.904199999800000
16,0,0,0,737190.657210999980000,554819.774976999960000,550402.619708999990000,4596619.027660000100000
17,0,0,0,737189.323481000030000,554814.956143000050000,550401.510846000050000,4596614.151110000000000
18,0,0,0,737187.989751999960000,554810.137309000010000,550400.401981999980000,4596609.274570000400000
19,0,0,0,737186.656022000010000,554805.318473999970000,550399.293119000040000,4596604.398020000200000
20,0,0,0,737185.322292000060000,554800.499640000050000,550398.184256999990000,4596599.521470000000000
21,0,0,0,737183.988561999980000,554795.680805000010000,550397.075394000040000,4596594.644930000400000
22,0,0,0,737182.654832000030000,554790.861970999980000,550395.966530999980000,4596589.768380000300000
23,0,0,0,737181.321102999970000,554786.043136999940000,550394.857668000040000,4596584.891839999700000
24,0,0,0,737179.987373000010000,554781.224302000020000,550393.748805999990000,4596580.015289999500000
25,0,0,0,737178.653643000060000,554776.405467999980000,550392.639943000050000,4596575.138740000300000
26,0,0,0,737177.319912999980000,554771.586633000060000,550391.531080999990000,4596570.262199999800000
27,0,0,0,737175.986183000030000,554766.767799000020000,550390.422218999940000,4596565.385649999600000
28,0,0,0,737174.652453999970000,554761.948964999990000,550389.313356000000000,4596560.509100000400000
29,0,0,0,737173.318724000010000,554757.130129999950000,550388.204493999950000,4596555.632550000200000
30,0,0,0,737171.984994000060000,554752.311296000030000,550387.095632000010000,4596550.756009999700000
31,0,0,0,737170.651263999990000,554747.492461999990000,550385.986769999960000,4596545.879460000400000
32,0,0,0,737169.317534000030000,554742.673626999950000,550384.877908000020000,4596541.002910000300000
33,0,0,0,737167.983804999970000,554737.854793000030000,550383.769046999980000,4596536.126360000100000
34,0,0,0,737166.650075000010000,554733.035957999990000,550382.660185000040000,4596531.249810000000000
35,0,0,0,737165.316345000060000,554728.217123999960000,550381.551322999990000,4596526.373259999800000
36,0,0,0,737163.982614999990000,554723.398290000040000,550380.442461999950000,4596521.496709999600000
37,0,0,0,737162.648885000030000,554718.579455000000000,550379.333601000020000,4596516.620160000400000
38,0,0,0,737161.315155999970000,554713.760620999960000,550378.224738999970000,4596511.743610000200000
39,0,0,0,737159.981426000010000,554708.941786000040000,550377.115878000040000,4596506.867060000100000
40,0,0,0,737158.647696000060000,554704.122952000010000,550376.007017000000000,4596501.990509999900000
41,0,0,0,737157.313965999990000,554699.304117999970000,550374.898155999950000,4596497.113959999800000
42,0,0,0,737155.980237000040000,554694.485283000050000,550373.789295000020000,4596492.237409999600000
43,0,0,0,737154.646506999970000,554689.666449000010000,550372.680433999980000,4596487.360860000400000
44,0,0,0,737153.312777000010000,554684.847613999970000,550371.571573000050000,4596482.484310000200000
45,0,0,0,737151.979046999940000,554680.028780000050000,550370.462712000010000,4596477.607760000000000
46,0,0,0,737150.645316999990000,554675.209946000020000,550369.353851999970000,4596472.731200000300000
47,0,0,0,737149.311584000010000,554670.391111999980000,550368.244987000010000,4596467.854650000100000
48,0,0,0,737147.977847000000000,554665.572279999960000,550367.136120000040000,4596462.978099999900000
49,0,0,0,737146.644111000000000,554660.753447000050000,550366.027252999950000,4596458.101549999800000
50,0,0,0,737145.310375000000000,554655.934615000030000,550364.918386999980000,4596453.224999999600000
51,0,0,0,737143.976639000000000,554651.115782000010000,550363.809520000010000,4596448.348450000400000
52,0,0,0,737142.642903000000000,554646.296948999980000,550362.700653000040000,4596443.471900000200000
53,0,0,0,737141.309165999990000,554641.478116999960000,550361.591786999950000,4596438.595340000500000
