FID,Join_Count,TARGET_FID,entryid,POINT_X,POINT_Y,TRP,Join,UniqueID,Surveyor,SurveyYear,State,County,cornerid,TreeNo,Group_,L2_tree,L1_tree,L3_tree,TDiameter,TDistance,TDegree,ecotype,ecotypenot,ecotype2,ecotypen_1,ecotype3,ecotypen_2,feature,featurenot,timbernote,understory,landnotes,landnotesv,waterwet_1,generalnot,Line,AREASYMBOL,SPATIALVER,MUSYM,MUKEY,temp,precip,DEM,muname,om_r,sandtotal_,silttotal_,claytotal_,kwfact,kffact,awc_r,ksat_r,RASTERVALU,CLASS
0,1,3006, ,772811.9045,535173.4231, ,234153300140tree2,2.34E+11,Reuben J. Dawson,1835,IN,Kosciusko, ,tree2,Oak,White Oak,W. Oak,Oak,NA,2.5146,180, , , , , , , , , , , , , , ,East,IN085,5,BrA,160856,9.949999809,990.5800171,254.4914093,"Bronson sandy loam, 0 to 2 percent slopes",0.98,67.3300018,22.2600002,10.4099998,0.2,0.2,0.14,28.2299995,21,"Developed, Open Space"
1,1,3012, ,767832.0043,529738.6731, ,233143600400tree2,2.33E+11,Reuben J. Dawson,1834,IN,Marshall, ,tree2,Other,Basswood,lynn,Basswood,NA,8.650224,296, , , , , , , , , , , , , , ,East,IN085,5,Re,160908,9.930000305,995.6799927,246.7613525,Rensselaer loam,3.0999999,34.1800003,41.2200012,24.6000004,0.25,0.25,0.19,9.1700001,21,"Developed, Open Space"
2,1,3014, ,771153.6031,532914.1132, ,233153200600tree2,2.33E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree2,Oak,Red Oak,R Oak,Oak,NA,4.224528,117.75, , , , , , , , , , , , , , ,East,IN085,5,KoB,160874,9.960000038,992.75,257.796875,"Kosciusko sandy loam, 2 to 6 percent slopes",1,64.8099976,17.1299992,18.0599995,0.13,0.18,0.14,12.9700003,82,Cultivated Crops
3,1,3018, ,766893.8294,520137.728, ,232143540400tree2,2.32E+11,Reuben J. Dawson,1834,IN,Marshall, ,tree2,Oak,White Oak,w oak,Oak,48,9.354312,1.5, , , , , , , , , , , , , , ,East,IN085,5,Gm,160865,9.899999619,998.289978,242.6051025,"Gilford mucky sandy loam, gravelly substratum",4.27,70.1500015,17.7199993,12.1300001,0.14,0.14,0.14,35.2200012,21,"Developed, Open Space"
4,1,3019, ,773415.7566,515187.9628, ,232153340100tree1,2.32E+11,S. Sibley,1833,IN,Kosciusko, ,tree1,Oak,Swamp White,Swp Oak,Oak,48,27.761184,74, , , , , , , , , , , , , , ,East,IN085,5,Sn,160920,9.970000267,991.4199829,249.5834808,"Shoals loam, gravelly substratum, occasionally flooded",1.53,40.9700012,38.7299995,20.2999992,0.34,0.34,0.18,9.1700001,41,Deciduous Forest
5,1,3020, ,767877.1817,531333.1214, ,233143600500tree1,2.33E+11,Reuben J. Dawson,1834,IN,Marshall, ,tree1,Oak,White Oak,w oak,Oak,48,8.650224,94.5, , , , , , , , , , , , , , ,East,IN085,5,Wt,160932,9.930000305,995.75,248.4638367,Whitaker loam,1.29,40.6300011,37.5699997,21.7999992,0.32,0.32,0.19,9.3100004,21,"Developed, Open Space"
6,1,3025, ,767708.1065,520918.9395, ,232143600440tree2,2.32E+11,Reuben J. Dawson,1834,IN,Marshall, ,tree2,Oak,White Oak,w oak,Oak,44,8.247888,325.5, , , , , , , , , , , , , , ,East,IN085,5,OrA,160898,9.909999847,996.9899902,245.2372742,"Ormas loamy sand, 0 to 2 percent slopes",0.57,83.2200012,11.2700005,5.5100002,0.11,0.12,0.1,82.8499985,82,Cultivated Crops
7,1,3026, ,768504.3763,520106.6422, ,232143640400tree2,2.32E+11,Reuben J. Dawson,1834,IN,Marshall, ,tree2,Oak,White Oak,w oak,Oak,44,8.247888,325.5, , , , , , , , , , , , , , ,East,IN085,5,CrA,160860,9.930000305,995.539978,248.8075104,"Crosier loam, 0 to 1 percent slopes",0.86,42.0400009,36.7200012,21.2399998,0.34,0.34,0.15,4.54,21,"Developed, Open Space"
8,1,3036, ,764598.1609,528990.8006, ,233143400340tree1,2.33E+11,Reuben J. Dawson,1834,IN,Marshall, ,tree1,Oak,Bur Oak,burr oak,Oak,40,6.839712,77.75, , , , , , , , , , , , , , ,East,IN099,4,CvdA,1702545,9.930000305,998.9799805,251.1717529,"Crosier loam, 0 to 1 percent slopes",0.86,42.0400009,36.7200012,21.2399998,0.34,0.34,0.15,4.54,21,"Developed, Open Space"
9,1,3037, ,771120.3993,530481.4901, ,233153200440tree1,2.33E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree1,Oak,White Oak,W Oak,Oak,40,1.408176,340, , , , , , , , , , , , , , ,East,IN085,5,Se,160916,9.949999809,992.9000244,251.5859528,"Sebewa loam, drained, 0 to 1 percent slopes",1.51,50.9300003,25.2099991,23.8600006,0.22,0.22,0.16,10.4099998,21,"Developed, Open Space"
