FID,density,POINT_X,POINT_Y
0,0,758542.30840,517087.70140
1,0,758664.05000,521925.78090
2,0,771848.81980,523240.79960
3,0,779070.46000,516757.47000
4,0,768615.57800,528105.89800
5,0,774347.55490,532063.67770
6,0,774375.66130,533604.10270
7,0,777580.01000,532848.77000
8,0,779222.65000,532823.83000
9,121.8057308,756252.61850,521970.53590
10,546.2307362,759517.66440,524300.70400
11,93.75203048,757699.00620,515494.66300
12,167.239957,756347.01670,524379.30310
13,69.31781627,755463.44610,521992.72140
14,82.23254646,753095.82340,522083.51620
15,282.411721,757755.65760,518719.28910
16,209.5146986,757926.06350,524339.61540
17,404.9916506,757825.34580,521127.02040
18,154.7114116,756962.69930,518741.04080
19,136.8194838,759331.31670,516258.11050
20,49.85836101,759502.76040,523529.64920
21,115.5384195,759485.39660,522723.86470
22,396.0474073,757001.10650,520343.33440
23,863.6975907,757744.85570,517914.76540
24,5.26590015,757860.06720,521933.48170
25,1782.549214,753907.07620,523685.01960
26,784.1471453,754691.37520,522811.79850
27,296.7833295,754674.27360,522014.90690
28,0.600037943,756317.24460,523571.41280
29,42.69376357,759350.56300,517065.16120
30,93.48183868,757773.14110,519519.92410
31,0.166384668,757105.95990,523565.78030
32,18.15777841,758620.80900,520307.10040
33,297.6480768,758505.53830,515472.86140
34,53.43701281,757790.62450,520320.55910
35,56.39106822,758573.27950,518703.10320
36,1.964542726,753097.36810,524555.50700
37,67.6500278,757894.67520,523560.14780
38,252.3380903,759370.73220,517876.03920
39,102.364687,757877.37120,522746.81470
40,25.32377931,759468.03280,521918.08010
41,510.7361965,756284.93160,522770.97430
42,42.5554429,759450.99360,520293.64170
43,0,759420.94750,519490.27950
44,94.68266033,759459.51320,521105.86090
45,2.089998734,759390.90140,518686.91730
46,126.369611,758698.71780,523544.89850
47,267.2179343,753105.67550,523761.34890
48,72.30836339,753885.04850,522049.21160
49,144.6268794,754708.47690,523608.69020
50,645.2217408,754650.95800,521214.71520
51,51.57729057,759312.07050,515451.05980
52,223.7615537,764519.89510,522580.72360
53,59.44796096,764498.66200,521772.48580
54,35.13980074,762130.05070,523442.51720
55,14.60365356,766083.92320,520145.83910
56,102.3455782,761336.08340,524249.91400
57,69.77393291,762816.66960,518590.81110
58,8.984215959,766115.87830,521754.56800
59,197.6352074,763654.78620,520194.99190
60,41.85043585,765343.31600,523373.75200
61,59.76765539,766893.26450,520128.40840
62,0,762805.12290,517788.21890
63,292.4434594,764455.12060,520177.76210
64,181.401,765269.52190,520161.80060
65,3.657757811,761253.74350,520248.95380
66,59.14191453,762893.53840,521814.06220
67,363.6821036,763696.10020,521793.27400
68,161.8443267,760352.36860,520271.29780
69,37.60732628,761270.14640,521053.96400
70,39.11164898,767702.60580,520110.97780
71,13.26372612,769315.02260,520088.41590
72,84.45657378,761306.59930,522661.27090
73,225.6512039,762054.09760,520230.58780
74,111.5769838,761180.64830,517022.74530
75,0,766944.26240,523348.11920
76,18.35267176,766919.18080,521733.79380
77,67.08307447,767712.54460,520911.99870
78,67.08307447,768508.81420,520099.69690
79,122.8118139,761193.68630,517827.06300
80,0,769375.51890,523310.73210
81,57.38885446,762090.04380,521836.51820
82,0.336290418,766146.61770,524142.93590
83,3.37442043,766145.50380,523358.54270
84,13.51436313,762873.99510,521013.14200
85,2.753433643,767732.75220,522525.35760
86,12.25784129,766130.69100,522556.55530
87,20.0955335,769328.83160,520893.36670
88,161.19892,761286.54930,521858.97420
89,0,769381.36550,524091.30470
90,59.24023094,767722.48340,521713.01950
91,117.7740053,764476.89130,520975.12390
92,6.359218307,769359.07980,522504.52490
93,54.57192719,760377.29100,521888.52710
94,0.284700762,768532.56200,521705.66850
95,51.30517544,769342.64070,521698.31760
96,4.863530774,760298.81280,518659.14900
97,50.05442942,766099.90070,520950.20360
98,13.44196914,765307.27020,521763.52690
99,25.02028424,761326.64930,523463.56760
100,114.7768046,761230.23390,519440.16720
101,119.1266505,762011.69690,518611.09590
102,1.628775129,761206.72430,518631.38070
103,68.56554731,762854.45180,520212.22180
104,17.88705284,777462.30000,518340.54000
105,89.51829609,775819.76440,515950.95040
106,423.5022256,771001.13000,518445.14000
107,38.54501193,775859.94000,519971.06000
108,36.90721136,771709.31630,515206.94960
109,24.34419497,777493.16000,521555.41000
110,166.649342,775882.13000,521577.67000
111,546.5069421,777431.52000,515126.11000
112,327.9238491,775811.33000,515146.34000
113,24.51381758,775020.57320,516764.27840
114,71.17400532,779086.99760,519137.60980
115,11.55175754,773448.73270,520007.98670
116,421.1714767,770976.27590,516025.66160
117,83.13233066,775880.66000,523175.79000
118,36.49191028,776696.00010,523166.53730
119,39.59885733,779118.00560,523966.54470
120,13.00597978,772657.07000,521628.69000
121,13.77851763,777479.49000,519949.60000
122,84.77236463,770991.64000,516829.93000
123,49.31421086,777444.85000,516727.99000
124,317.5111873,777438.18430,515927.05110
125,54.48619137,773426.64020,518399.89700
126,125.4728356,777513.01630,523962.96900
127,90.10521601,776513.50040,515138.57520
128,57.97765657,775871.03360,520774.36660
129,49.36752946,777502.25190,522356.34700
130,172.3764943,770996.38600,517637.53640
131,16.97624916,775037.89240,518371.44390
132,7.472014472,775828.20000,516755.56000
133,58.1837705,776636.52150,516741.77930
134,11.2679951,773327.55200,515180.31290
135,21.25065116,773407.13950,516787.85400
136,50.0266566,778313.62150,523166.39640
137,76.01219581,771835.10070,520038.50260
138,17.52897765,772613.32960,517611.38550
139,2.290462963,771024.32000,520054.25000
140,111.2467516,772576.55000,515194.04000
141,40.94825978,770217.72880,523294.11400
142,1.170685556,779108.90000,521562.22000
143,4.176073067,776655.06810,518351.84690
144,396.3735555,770960.91000,515221.39000
145,89.57494024,774220.45010,517576.36550
146,20.25062383,774942.34130,515157.85830
147,68.79444242,774227.95000,518379.74000
148,0,777453.57420,517534.26950
149,189.4376827,772601.33000,516802.72000
