"","FID","density","basal","POINT_X","POINT_Y","Line","Type"
"1",0,0,0,516326.08233,4570756.21459,"West","Prairie"
"2",0,0,0,589826.929287,4590108.85906,"East","Prairie"
"3",1,0,0,516315.028558,4572391.65109,"West","Prairie"
"4",1,0,0,591405.91209,4591747.9482,"East","Prairie"
"5",2,0,0,516314.704922,4573993.18926,"West","Prairie"
"6",2,162.304203647,51.1537489114,591431.800324,4590130.06355,"East","Forest"
"7",3,0,0,517207.779824,4568337.36613,"West","Prairie"
"8",3,0,0,592236.470547,4590931.23257,"East","Prairie"
"9",4,0,0,517114.927205,4571577.99583,"West","Prairie"
"10",4,328.659233178,256.46250095,591383.308787,4593357.78826,"East","Forest"
"11",5,0,0,517123.156374,4573214.1892,"West","Prairie"
"12",5,0,0,591442.170623,4589318.55865,"East","Prairie"
"13",6,0,0,517130.271167,4574816.0739,"West","Prairie"
"14",6,0,0,592190.565703,4594141.9533,"East","Prairie"
"15",7,0,0,517139.161018,4576426.4716,"West","Prairie"
"16",7,266.415670225,22.1391492749,592206.256954,4592545.74274,"East","Forest"
"17",8,0,0,518006.651425,4569144.99668,"West","Prairie"
"18",8,344.896811348,67.8075760048,589034.511012,4587682.80732,"East","Forest"
"19",9,0,0,517928.708757,4572412.9735,"West","Prairie"
"20",9,181.397563694,15.0741423631,584147.936868,4592420.8586,"East","Forest"
"21",10,0,0,517921.561831,4574011.49571,"West","Prairie"
"22",10,185.837622344,20.8105342038,593072.245265,4588514.0951,"East","Forest"
"23",11,0,0,517936.702183,4575618.21061,"West","Prairie"
"24",11,919.358774791,158.387628835,593022.120369,4592537.1488,"East","Forest"
"25",12,0,0,518813.78809,4568354.82904,"West","Prairie"
"26",12,207.104767887,29.068805152,584994.787355,4590009.94723,"East","Forest"
"27",13,0,0,518800.631451,4569955.71099,"West","Prairie"
"28",13,246.84715168,30.5193486999,593013.516282,4593329.90719,"East","Forest"
"29",14,0,0,518744.883062,4573208.98528,"West","Prairie"
"30",14,465.149376699,188.555734457,590565.531249,4594150.19392,"East","Forest"
"31",15,0,0,518727.993196,4574813.63215,"West","Prairie"
"32",15,184.751173669,7.95725812497,584924.054404,4594041.78982,"East","Forest"
"33",16,0,0,519613.422272,4569163.0929,"West","Prairie"
"34",16,328.671896059,29.9772914224,588228.401856,4589266.34682,"East","Forest"
"35",17,0,0,519596.899297,4570759.87279,"West","Prairie"
"36",17,1477.22296432,182.638861533,590551.685807,4595767.77748,"East","Forest"
"37",18,0,0,519550.390043,4574000.43088,"West","Prairie"
"38",18,99.9038203416,36.4478493294,591421.433138,4590941.55917,"East","Forest"
"39",19,0,0,519549.774021,4575612.04826,"West","Prairie"
"40",19,0,0,586599.287306,4590041.87155,"East","Prairie"
"41",20,0,0,520389.084789,4571573.95795,"West","Prairie"
"42",20,0,0,591451.337241,4588513.87818,"East","Prairie"
"43",21,0,0,520354.402691,4574800.14099,"West","Prairie"
"44",21,54.3985601914,16.0974678639,585042.688051,4587606.75165,"East","Forest"
"45",22,0,0,520363.455372,4576411.8013,"West","Prairie"
"46",22,151.984687311,46.2840784389,589748.095544,4594948.06024,"East","Forest"
"47",23,0,0,521213.612188,4570765.79369,"West","Prairie"
"48",23,101.244597128,85.3655205857,588189.041691,4591692.43196,"East","Forest"
"49",24,0,0,521172.983447,4575609.55892,"West","Prairie"
"50",24,370.025280248,79.6851952066,593066.102017,4589308.99399,"East","Forest"
"51",25,0,0,516393.020445,4569139.45458,"West","Prairie"
"52",25,169.051011665,51.4813065878,587422.891697,4587646.70562,"East","Forest"
"53",26,0,0,517133.439283,4569936.80218,"West","Prairie"
"54",26,916.598054921,54.3403095013,586542.70003,4593276.61679,"East","Forest"
"55",27,0,0,517123.978949,4570748.043,"West","Prairie"
"56",27,213.529211559,118.583745959,588213.678182,4590075.32351,"East","Forest"
"57",28,0,0,517938.725476,4570745.77054,"West","Prairie"
"58",28,686.209414291,361.005365881,589741.349867,4595756.97074,"East","Forest"
"59",29,0,0,518789.187093,4570751.11997,"West","Prairie"
"60",29,442.780763661,198.3345269,584185.460835,4590801.6278,"East","Forest"
"61",30,0,0,518744.411442,4571579.22751,"West","Prairie"
"62",30,208.111071618,38.9115800581,589857.877006,4588496.68916,"East","Forest"
"63",31,0,0,518738.404828,4575615.7384,"West","Prairie"
"64",31,463.698126068,42.5276348425,586569.580105,4591660.88719,"East","Forest"
"65",32,0,0,519569.864029,4572396.87759,"West","Prairie"
"66",32,338.82811346,7.03915630796,585784.189535,4590833.06056,"East","Forest"
"67",33,0,0,520404.654091,4570764.58997,"West","Prairie"
"68",33,384.228032693,10.1239433279,585809.882227,4589218.75831,"East","Forest"
"69",34,0,0,520373.464183,4572383.32693,"West","Prairie"
"70",34,1071.89259599,39.1057916528,588249.723157,4587668.15195,"East","Forest"
"71",35,0,0,520354.775874,4573187.60791,"West","Prairie"
"72",35,581.388558546,17.9702297835,592982.052894,4595744.6963,"East","Forest"
"73",36,0,0,521185.214122,4572383.50891,"West","Prairie"
"74",36,501.991979063,18.8228686776,584938.821729,4593237.26651,"East","Forest"
"75",37,0,0,521236.399372,4573982.2672,"West","Prairie"
"76",37,80.0095859081,15.7300847647,593058.806858,4590114.94819,"East","Forest"
"77",38,0,0,521996.966059,4572383.69055,"West","Prairie"
"78",38,139.463908632,38.5137360347,588121.455018,4596502.03118,"East","Forest"
"79",39,0,0,521985.335834,4573178.43474,"West","Prairie"
"80",39,102.641942596,7.95744431729,586553.230239,4592471.34091,"East","Forest"
"81",40,0,0,521973.706689,4573973.17302,"West","Prairie"
"82",40,751.322882365,28.1718683547,593004.909477,4594122.6588,"East","Forest"
"83",41,0,0,521990.566554,4574791.95275,"West","Prairie"
"84",41,431.979306468,7.00438865289,586612.641795,4589233.30752,"East","Forest"
"85",42,0,0,521984.826166,4575610.76023,"West","Prairie"
"86",42,199.128777853,8.07200328334,585024.906282,4588405.48104,"East","Forest"
"87",43,0,0,522809.473681,4572386.80309,"West","Prairie"
"88",43,559.51373459,38.5573319806,585728.111692,4594061.84466,"East","Forest"
"89",44,0,0,522787.568711,4573981.77021,"West","Prairie"
"90",44,241.90814231,185.458494089,584236.309678,4587595.0441,"East","Forest"
"91",45,0,0,523601.435225,4573990.36016,"West","Prairie"
"92",45,65.393114321,46.2567114307,589779.922874,4592532.63242,"East","Forest"
