"","X","FID","density","basal","POINT_X","POINT_Y","Line","water","notree","nodata","Type","distance"
"1",94,46,0,0,751523.9757,526214.5296,"East",NA,"yes",NA,"Prairie",5278.29270127607
"2",96,47,0,0,767754.54,524890.55,"East",NA,"yes",NA,"Prairie",21245.8569344585
"3",98,48,0,0,775948.1703,532042.8439,"East",NA,"yes",NA,"Prairie",30255.0915741849
"4",100,49,0,0,776746.381,531222.0184,"East",NA,"yes",NA,"Prairie",30899.0275930592
"5",102,50,0,0,777555.53,531216.82,"East",NA,"yes",NA,"Prairie",31697.4620244711
"6",104,51,0,0,777567.7719,532032.7913,"East",NA,"yes",NA,"Prairie",31845.3119997848
"7",106,52,0,0,777580.01,532848.77,"East",NA,"yes",NA,"Prairie",32013.2053429445
"8",108,53,0,0,778377.6787,531210.9457,"East",NA,"yes",NA,"Prairie",32509.1787441208
"9",110,54,0,0,778401.3294,532836.2968,"East",NA,"yes",NA,"Prairie",32815.3388967837
"10",112,55,0,0,779199.83,531205.08,"East",NA,"yes",NA,"Prairie",33321.4118481423
"11",114,56,0,0,779211.2362,532014.4512,"East",NA,"yes",NA,"Prairie",33460.4586737068
"12",116,57,0,0,779222.65,532823.83,"East",NA,"yes",NA,"Prairie",33618.4059987263
"13",118,58,0,0,752028.5769,544085.7876,"East",NA,"yes",NA,"Prairie",8408.75331496463
"14",120,59,0,0,765593.323,537793.169,"East",NA,"yes",NA,"Prairie",21459.5254002922
"15",122,60,0,0,773705.219,540785.4448,"East",NA,"yes",NA,"Prairie",29514.9144024879
"16",124,61,0,0,750498.95,546556.46,"East",NA,"yes",NA,"Prairie",7399.62985062693
"17",126,62,0,0,769059.4742,545912.1452,"East",NA,"yes",NA,"Prairie",25484.3646607309
"18",128,63,0,0,768258.35,545943.39,"East",NA," ",NA,"Prairie",24708.256597621
"19",130,64,0,0,777968.282,548071.6519,"East",NA," ",NA,"Prairie",34619.7295900749
"20",132,65,162.304203647,51.1537489114,777920.2528,546454.9313,"East",NA," ",NA,"Forest",34279.5195477568
"21",134,66,0,0,778761.49,547218.152,"East",NA," ",NA,"Prairie",35248.8497973765
"22",136,67,328.659233178,256.46250095,778019.2353,549680.2162,"East",NA," ",NA,"Forest",34901.8337047908
"23",138,68,0,0,777893.55,545644.14,"East",NA," ",NA,"Prairie",34117.3984270522
"24",140,69,0,0,778862.2615,550426.36,"East",NA," ",NA,"Prairie",35862.2681427516
"25",142,70,0,0,765004.2267,545253.7566,"East",NA," ",NA,"Prairie",21382.0422489297
"26",144,71,266.415670225,22.1391492749,778805.0296,548831.7113,"East",NA," ",NA,"Forest",35548.5509114366
"27",146,72,0,0,746537.2046,524805.4341,"East",NA," ",NA,"Prairie",524.399601846471
"28",148,73,326.687641991,82.7675357629,749647.84,520611.2,"East",NA," ",NA,"Forest",3629.35756121234
"29",150,74,143.186516319,9.86730030654,746423.83,520769,"East",NA," ",NA,"Forest",401.691375498872
"30",152,75,280.669550651,23.3236471171,745720.7259,524014.6501,"East",NA," ",NA,"Forest",560.110653924537
"31",154,76,195.426977042,202.108618515,748002.1149,519857.32,"East",NA," ",NA,"Forest",2136.50100547717
"32",156,77,76.8624051662,70.1041600064,747978.96,519083.62,"East",NA," ",NA,"Forest",2121.80121958192
"33",158,78,432.059550534,323.13744117,747135.8278,522369.1844,"East",NA," ",NA,"Forest",855.52824567099
"34",160,79,61.9477910357,19.2103183272,749772.9183,524659.1448,"East",NA," ",NA,"Forest",3492.72607692665
"35",162,80,68.5149390646,6.24906576971,747089.891,520748.089,"East",NA," ",NA,"Forest",1068.04759667307
"36",164,81,66.5910720439,37.3863512243,746273.42,515916.62,"East",NA," ",NA,"Forest",1297.63363209189
"37",166,82,41.4890244355,3.57387582693,745583.4897,519165.8913,"East",NA," ",NA,"Savanna",348.143266244376
"38",168,83,320.832779325,120.30059293,746445.5707,521576.4842,"East",NA," ",NA,"Forest",577.752406565833
"39",170,84,92.9583621264,21.149111103,746405.8111,519955.0022,"East",NA," ",NA,"Forest",604.404280818647
"40",172,85,131.132814793,40.6649385424,749695.18,522218.77,"East",NA," ",NA,"Forest",3290.91073124167
"41",174,86,54.4958378508,46.5010474739,747044.8969,515884.686,"East",NA," ",NA,"Forest",1790.10122526076
"42",176,87,77.175533977,59.6357659109,747882.32,515854.29,"East",NA," ",NA,"Forest",2440.13444401828
"43",178,88,37.6977469811,15.2813842724,749671.5108,521414.9864,"East",NA," ",NA,"Savanna",3553.84638564024
"44",180,89,92.1460821323,2.84815764814,746362.7299,518334.5788,"East",NA," ",NA,"Forest",345.301592488879
"45",182,90,68.9355729235,28.223577664,747954.7663,518275.277,"East",NA," ",NA,"Forest",1877.08177178542
"46",184,91,19.5077403331,9.6474846968,748386.7776,517449.4043,"East",NA," ",NA,"Savanna",2313.31031832795
"47",186,92,0.43922142564,0.139097988345,745515.2933,515942.5233,"East",NA," ",NA,"Prairie",620.915394476772
"48",188,93,8.48298063056,2.5618402794,746337.67,517528.15,"East",NA," ",NA,"Savanna",288.83348696791
