"","FIAspecies","freq","Percentage7"
"1","Acer saccharinum",16,15.2380952380952
"2","Betula nigra",1,0.952380952380952
"3","Carya glabra",3,2.85714285714286
"4","Carya ovata",1,0.952380952380952
"5","Celtis occidentalis",1,0.952380952380952
"6","Fraxinus pennsylvanica",1,0.952380952380952
"7","Juglans cinerea",1,0.952380952380952
"8","Malus",1,0.952380952380952
"9","Nyssa sylvatica",7,6.66666666666667
"10","Pinus banksiana",1,0.952380952380952
"11","Pinus strobus",3,2.85714285714286
"12","Prunus serotina",22,20.952380952381
"13","Quercus alba",9,8.57142857142857
"14","Quercus palustris",11,10.4761904761905
"15","Quercus velutina",8,7.61904761904762
"16","Salix nigra",2,1.9047619047619
"17","Sassafras albidum",14,13.3333333333333
"18","Ulmus americana",3,2.85714285714286
