FID,density,POINT_X,POINT_Y
0,0,735026.78000,519506.38000
1,0,735032.19000,521128.08000
2,0,734234.50820,519541.27520
3,0,734258.55270,521153.65050
4,0,735021.33540,518701.91950
5,0,735029.48700,520317.23020
6,0,735811.63550,517877.83690
7,0,735824.65960,519485.70110
8,0,725173.07310,523906.89680
9,0,729874.71620,520467.12390
10,0,729902.95000,521264.99000
11,0,743099.04000,517637.02000
12,0,743192.88000,520866.31000
13,0,717554.22320,517017.75760
14,0,720256.81300,522536.06510
15,0,720294.79000,523341.32000
16,0,720332.97090,524154.29230
17,0,723142.79930,532887.16940
18,0,723992.85870,533657.02210
19,0,726965.57000,527880.50000
20,0,711878.62660,534975.78700
21,0,715086.15100,533230.41720
22,0,718296.89250,533094.58880
23,0,712580.11000,531716.76000
24,0,701914.04150,530574.02140
25,0,701978.95880,532207.37880
26,0,702053.03610,533806.42010
27,0,702683.60020,528118.03990
28,0,702741.23390,531357.79420
29,0,702825.46050,532991.02460
30,0,702906.98090,534590.08000
31,0,702990.67400,536197.58010
32,0,703520.17590,528887.20490
33,0,703593.96770,532153.59710
34,0,703661.05260,533749.94500
35,0,703750.81160,535353.46360
36,0,704290.82660,528060.77680
37,0,704351.98870,529659.69050
38,0,704447.27160,532910.39890
39,0,704504.88330,534513.32860
40,0,705128.18040,528830.55340
41,0,705185.77240,530425.54190
42,0,705289.68080,533663.15190
43,0,705363.88020,535272.29810
44,0,706015.92020,531201.50480
45,0,706130.96590,534424.24000
46,0,706214.82490,536032.99330
47,0,706803.12810,530356.30170
48,0,706987.25900,535194.35790
49,0,701905.89240,528956.73880
50,0,702683.52460,529718.35620
51,0,702711.74000,530528.74000
52,0,703526.56640,530488.57180
53,0,704377.47000,530454.36000
54,0,704371.13160,531283.23300
55,0,704552.54000,535313.71000
56,0,705234.72000,532061.20800
57,0,705993.93000,530392.70000
58,0,706037.86000,532010.32000
59,0,706056.49620,532814.20480
60,0,706849.78900,531972.77150
61,0,706975.17230,533566.64330
62,0,707661.72000,531935.23000
63,0,707686.95920,532729.26460
64,0,707712.20000,533523.30000
