FID,TRP,x,y,version,entry_id,timestamp,reader_ini,surveyor_n,volume,page,year,state,hubtack_co,baseline,meridian,township,townshipdi,rangenum,rangedir,sectiona,sectionb,interiorse,interiordi,refcorner,traveldir,secondpass,chains,typecorner,cornerid,species,speciescod,verbatim,L1_tree1,L3_tree1,diameter,bearing,degrees,bearingdir,chainstree,species2,speciesc_1,verbatim2,L1_tree2,L3_tree2,diameter2,bearing2,degrees2,bearingd_1,chainstr_1,species3,speciesc_2,verbatim3,L1_tree3,L3_tree3,diameter3,bearing3,degrees3,bearingd_2,chainstr_2,species4,speciesc_3,verbatim4,L1_tree4,L3_tree4,diameter4,bearing4,degrees4,bearingd_3,chainstr_3,ecotype,ecotypenot,ecotype2,ecotypen_1,ecotype3,ecotypen_2,water,nodata,notree,feature,featurenot,timbernote,understory,landnotes,landnotesv,generalnot,recheck,reason,fixed,X_UTM,Y_UTM
0,32N1E2,735026.78,519506.38,1.5-1,609615, ,abuerger,Jeremiah Smith,999,158,1836,IN,Marshall,2,2,32,N,1,E,27,28,0, ,400200,N,N,80,Section,400300, , , ,Water,Water,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , ,Water, ,yes,lake, , , , , , , , ,JP 11-11-14 checked - no trees because this was a  big lake.,549870.3936,4561227.233
1,32N1E2,735032.19,521128.08,1.5-1,609619, ,abuerger,Jeremiah Smith,999,158,1836,IN,Marshall,2,2,32,N,1,E,21,22,0, ,400300,N,N,80,Section,400400, , , ,Water,Water,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , ,Water, ,yes,lake, , , , , , , , , ,549801.1203,4562848.494
2,32N1E2,734234.5082,519541.2752,1.5-1,609617, ,abuerger,Jeremiah Smith,999,158,1836,IN,Marshall,2,2,32,N,1,E,21,28,0, ,400300,W,N,40,(1/4) Section,340300, , , ,Water,Water,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , ,Water, ,yes,lake, , , , , , , , ,JP 11-11-14 checked - no trees because this was a  big lake.,549078.4542,4561225.58
3,32N1E2,734258.5527,521153.6505,1.5-1,609620, ,abuerger,Jeremiah Smith,999,158,1836,IN,Marshall,2,2,32,N,1,E,16,21,0, ,400400,W,N,40,(1/4) Section,340400, , , ,Water,Water,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , ,Water, ,yes,lake, , , , , , , , ,JP 11-11-14 checked - no trees because this was a  big lake.,549028.1855,4562838.377
4,32N1E2,735021.3354,518701.9195,1.5-1,609614, ,abuerger,Jeremiah Smith,999,158,1836,IN,Marshall,2,2,32,N,1,E,27,28,0, ,400200,N,N,40,(1/4) Section,400240, , , ,Water,Water,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , ,Water, ,yes,lake, , , , , , , , ,JP 11-11-14 checked - no trees because this was a  big lake.,549902.0013,4560422.852
5,32N1E2,735029.487,520317.2302,1.5-1,609618, ,abuerger,Jeremiah Smith,999,158,1836,IN,Marshall,2,2,32,N,1,E,21,22,0, ,400300,N,N,40,(1/4) Section,400340, , , ,Water,Water,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , ,Water, ,yes,lake, , , , , , , , ,JP 11-11-14 checked - no trees because this was a  big lake.,549835.7596,4562037.867
6,32N1E2,735811.6355,517877.8369,1.5-1,609613, ,abuerger,Jeremiah Smith,999,158,1836,IN,Marshall,2,2,32,N,1,E,27,34,0, ,400200,E,N,40,(1/4) Section,440200, , , ,Water,Water,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , ,Water, ,yes,lake, , , , , , , , ,JP 11-11-14 checked - no trees because this was a  big lake.,550728.2953,4559635.536
7,32N1E2,735824.6596,519485.7011,1.5-1,609616, ,abuerger,Jeremiah Smith,999,158,1836,IN,Marshall,2,2,32,N,1,E,22,27,0, ,400300,E,N,40,(1/4) Section,440300, , , ,Water,Water,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , ,Water, ,yes,lake, , , , , , , , ,JP 11-11-14 checked - no trees because this was a  big lake.,550667.2734,4561243.348
8,32N1W2,725173.0731,523906.8968,1.5-1,617952, ,cbroder1,Abner E. VanNess,999,162,1834,IN,Starke,2,2,32,N,1,W,9,10,0, ,400500,N,N,40,(1/4) Section,400540, , , ,Water,Water,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , ,Water, ,yes,Post in Mou,Water too deep for mound, , , , , , , , ,539837.801,4565170.866
9,32N1W2,729874.7162,520467.1239,1.5-1,617555, ,cbroder1,David Hillis,999,139,1829,IN,Starke,2,2,32,N,1,W,0,0,24,E,700300,N,N,40,(1/4) Section,700340, , , ,Water,Water,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , ,water, ,yes, , , , , , ,Post in lake, , , ,544686.6752,4561949.86
