ID,drainagecl,MUKEY
1,Moderately well drained,165295
2,Very poorly drained,165296
3,Very poorly drained,165297
4,Well drained,165315
5,Well drained,165316
6,Somewhat poorly drained,165317
7,Somewhat poorly drained,165318
8,Somewhat poorly drained,165319
9,Somewhat poorly drained,165321
10,Moderately well drained,165322
11,Moderately well drained,165323
12,Excessively drained,165324
13,Excessively drained,165325
14,Excessively drained,165326
15,Excessively drained,165327
16,Excessively drained,165328
17,Moderately well drained,165329
18,Poorly drained,165330
19,Somewhat excessively drained,165346
20,Somewhat excessively drained,165347
21,Somewhat excessively drained,165348
22,Well drained,165349
23,Well drained,165350
24,Somewhat poorly drained,165351
25,Somewhat poorly drained,165352
26,Somewhat poorly drained,165356
27,Well drained,165357
28,Well drained,165358
29,Very poorly drained,165359
30,Very poorly drained,165360
31,Poorly drained,165368
32,Very poorly drained,165369
33,Moderately well drained,165370
34,Moderately well drained,165371
35,Poorly drained,165372
36,Very poorly drained,165373
37,Very poorly drained,165374
38,Very poorly drained,165377
39,Very poorly drained,165378
40,Very poorly drained,165379
41,Somewhat poorly drained,165380
42,Somewhat poorly drained,165386
43,Somewhat poorly drained,165402
44,Very poorly drained,165403
45,Poorly drained,165404
46,Moderately well drained,165406
47,Moderately well drained,165407
48,Moderately well drained,165408
49,Moderately well drained,165409
50,Excessively drained,165411
51,Somewhat poorly drained,165412
52,Very poorly drained,165414
53,Very poorly drained,165415
54,Poorly drained,165416
55,Well drained,165426
56,Well drained,165427
57,Very poorly drained,165432
58,Very poorly drained,165433
59,,165434
60,Well drained,165457
61,Well drained,165458
62,Well drained,165459
63,Well drained,165460
64,Well drained,165461
65,Poorly drained,165466
66,Poorly drained,165467
67,Somewhat poorly drained,165468
68,Somewhat poorly drained,165469
69,Poorly drained,165470
70,Excessively drained,165475
71,Excessively drained,165476
72,Excessively drained,165477
73,Excessively drained,165478
74,Excessively drained,165479
75,Well drained,165495
76,,165498
77,,165499
78,,165500
79,,165501
80,,165502
81,,165503
82,,165504
83,,165505
84,,165506
85,,165507
86,,165508
87,,165509
88,,165510
89,,165511
90,,165512
91,,165513
92,Well drained,165514
93,Well drained,165515
94,Well drained,165516
95,Somewhat poorly drained,165524
96,,165525
97,,165526
98,Moderately well drained,165527
99,Moderately well drained,165528
100,Moderately well drained,165529
101,Moderately well drained,165530
102,Very poorly drained,165531
103,Excessively drained,268409
104,Somewhat poorly drained,268411
105,Poorly drained,268412
106,Very poorly drained,162556
107,Somewhat poorly drained,162557
108,Poorly drained,162558
109,Somewhat poorly drained,162559
110,Somewhat poorly drained,162560
111,Moderately well drained,162561
112,Moderately well drained,162562
113,Excessively drained,162563
114,Poorly drained,162564
115,Somewhat poorly drained,162565
116,Very poorly drained,162566
117,Poorly drained,162567
118,Poorly drained,162568
119,Very poorly drained,162569
120,Somewhat poorly drained,162570
121,Very poorly drained,162571
122,Very poorly drained,162572
123,Well drained,162573
124,Well drained,162574
125,Well drained,162575
126,Somewhat poorly drained,162576
127,Well drained,162577
128,Well drained,162578
129,Well drained,162579
130,Moderately well drained,162580
131,Moderately well drained,162581
132,Somewhat poorly drained,162582
